id,name,country,description
galle,Galle,sri-lanka,Historic seaside town
galway,Galway,ireland,Artistic coastal town with charm
geneva,Geneva,switzerland,International city with diplomacy and services
gothenburg,Gothenburg,sweden,Laid-back coastal city with industry
gozo,Gozo,malta,Quiet island offering slower pace and nature
haarlem,Haarlem,netherlands,Charming town near Amsterdam
halifax,Halifax,canada,Affordable maritime city with charm
hamburg,Hamburg,germany,Maritime city with culture and green spaces
hammamet,Hammamet,tunisia,Quiet resort town with beaches
hanoi,Hanoi,vietnam,Historic capital with culture
helsinki,Helsinki,finland,Modern capital with design and safety
ho-chi-minh-city,Ho Chi Minh City,vietnam,Dynamic economic hub
innsbruck,Innsbruck,austria,"Mountain city for active, scenic living"
istanbul,Istanbul,turkey,Cultural мегacity bridging Europe and Asia
izmir,Izmir,turkey,Liberal coastal city with relaxed lifestyle
jakarta,Jakarta,indonesia,Massive capital with amenities
jeju-island,Jeju Island,south-korea,Volcanic island with mild climate
kandy,Kandy,sri-lanka,Hill city with cooler climate
kaohsiung,Kaohsiung,taiwan,Southern port city with warmth
kotor,Kotor,montenegro,Dramatic bay town with historic old city
kuala-lumpur,Kuala Lumpur,malaysia,Modern capital with world-class amenities and hospitals
kutaisi,Kutaisi,georgia,Quiet historic city with low costs
la-serena,La Serena,chile,Relaxed coastal city
lagos,Lagos,portugal,Relaxed Algarve town with beaches and sunny retirement lifestyle
lake-como,Lake Como,italy,Scenic lakeside living with premium European lifestyle
langkawi,Langkawi,malaysia,Relaxed island living with beaches and low taxes
limassol,Limassol,cyprus,Modern coastal city with healthcare and amenities
lisbon,Lisbon,portugal,"Coastal capital with culture, history, healthcare, and strong expat life"
ljubljana,Ljubljana,slovenia,"Clean, green capital with relaxed pace"
loja,Loja,ecuador,Quiet city with low costs
lugano,Lugano,switzerland,Italian-speaking lakeside city
lyon,Lyon,france,Food capital with strong healthcare and transport
malaga,Málaga,spain,Sunny Costa del Sol hub with strong expat community
malmo,Malmö,sweden,Diverse city connected to Europe
marrakech,Marrakech,morocco,Cultural city with markets and history
medellin,Medellín,colombia,Spring-climate city with innovation
melbourne,Melbourne,australia,Cultural city with healthcare excellence
merida,Mérida,mexico,Safe colonial city with low costs and strong expat base
montevideo,Montevideo,uruguay,Calm capital with European feel
munich,Munich,germany,Wealthy city with strong healthcare and services
muscat,Muscat,oman,Clean capital with traditional culture
nice,Nice,france,Mediterranean city with healthcare and coastal lifestyle
nicosia,Nicosia,cyprus,Capital with urban living and services
odense,Odense,denmark,Quiet historic town with lower costs
osaka,Osaka,japan,Lively city with food culture
oslo,Oslo,norway,Wealthy capital with nature access
panama-city,Panama City,panama,"Modern capital with skyscrapers, healthcare, and conveniences"
paphos,Paphos,cyprus,Popular retiree town with beaches and expat services
penang,Penang,malaysia,Cultural island with excellent food and affordable healthcare
perth,Perth,australia,Isolated city with beaches and sunshine
phuket,Phuket,thailand,Beach island with resorts and large expat population
piran,Piran,slovenia,Small coastal town with Venetian charm
placencia,Placencia,belize,Quiet beach village
porto,Porto,portugal,Charming riverside city with wine culture and lower living costs
prague,Prague,czech-republic,Beautiful capital with culture and healthcare
puerto-plata,Puerto Plata,dominican-republic,Affordable coastal city
puerto-vallarta,Puerto Vallarta,mexico,Popular beach town with healthcare and vibrant expat scene
punta-cana,Punta Cana,dominican-republic,Resort area with expat enclaves
punta-del-este,Punta del Este,uruguay,Resort beach town
quito,Quito,ecuador,Andean capital with historic center
rabat,Rabat,morocco,Calm capital with coastal feel
ras-al-khaimah,Ras Al Khaimah,united-arab-emirates,Quieter emirate with lower costs
rhodes,Rhodes,greece,Sunny island with relaxed pace and history
rome,Rome,italy,Historic capital with top hospitals and vibrant lifestyle
rovinj,Rovinj,croatia,Charming seaside town with Italian flair
salalah,Salalah,oman,Green monsoon city with cooler climate
salzburg,Salzburg,austria,Cultural alpine city with music heritage
san-diego,San Diego,united-states,Coastal city with mild climate
san-miguel-de-allende,San Miguel de Allende,mexico,Charming colonial town with arts and retirees
santiago,Santiago,chile,Modern capital with mountain views
santo-domingo,Santo Domingo,dominican-republic,Historic capital with urban life
sarasota,Sarasota,united-states,Florida retirement hub with beaches
scottsdale,Scottsdale,united-states,Desert city with golf and healthcare
sentosa,Sentosa,singapore,Resort island with luxury living
seoul,Seoul,south-korea,High-tech capital with excellent hospitals
sliema,Sliema,malta,Waterfront expat hub with services and amenities
sohar,Sohar,oman,Industrial coastal city
sousse,Sousse,tunisia,Affordable coastal city
split,Split,croatia,Historic coastal city with island access
st-julians,St Julian’s,malta,Lively coastal area with dining and expats
stockholm,Stockholm,sweden,Scenic capital spread across islands
taichung,Taichung,taiwan,Pleasant city with lower costs
taipei,Taipei,taiwan,Modern capital with outstanding healthcare
tamarindo,Tamarindo,costa-rica,"Beach town with expats, surf culture, and relaxed living"
tampere,Tampere,finland,Industrial city with lakes and culture
tauranga,Tauranga,new-zealand,Sunny beach city popular with retirees
tbilisi,Tbilisi,georgia,Affordable capital with culture and easy residency
tivat,Tivat,montenegro,Modern marina town with upscale living
tokyo,Tokyo,japan,Ultra-modern megacity with top healthcare
trondheim,Trondheim,norway,Historic university city with relaxed pace
tunis,Tunis,tunisia,Cultural capital with Mediterranean access
turku,Turku,finland,Historic coastal city with archipelago
utrecht,Utrecht,netherlands,Compact historic city with high livability
valencia,Valencia,spain,"Affordable coastal city blending beaches, culture, and modern living"
valparaiso,Valparaíso,chile,Colorful port city
vancouver,Vancouver,canada,Coastal metropolis with nature access
victoria,Victoria,canada,Mild climate city popular with retirees
vienna,Vienna,austria,Exceptionally livable city with world-class healthcare
wellington,Wellington,new-zealand,Compact capital with culture
yogyakarta,Yogyakarta,indonesia,Cultural city with low costs
zurich,Zurich,switzerland,Financial hub with top healthcare
