id,name,region,subregion,climate,expenditure_single,expenditure_couple,tags,cover_image,grade
indonesia,Indonesia,Asia,Southeast Asia,Tropical,"$1,650","$2,150",Low Cost:Tropical Paradise:Warm Weather:Beach Living,/images/destinations/indonesia/hero.webp,C
ireland,Ireland,Europe,Western Europe,Temperate,"$3,300","$4,300",Top Healthcare:Safe:English Spoken,/images/destinations/ireland/hero.webp,B
italy,Italy,Europe,Southern Europe,Mediterranean,"$2,500","$3,150",Warm Weather:Safe:Large Expat Communities:Top Healthcare,/images/destinations/italy/hero.webp,B
japan,Japan,Asia,East Asia,Temperate,"$3,150","$4,000",Top Healthcare:Safe:Premium Cost:Limited English,/images/destinations/japan/hero.webp,B
malaysia,Malaysia,Asia,Southeast Asia,Tropical,"$2,000","$2,500",Low Cost:Tropical Paradise:Easy Residency:Large Expat Communities:English Spoken,/images/destinations/malaysia/hero.webp,B
malta,Malta,Europe,Southern Europe,Mediterranean,"$2,750","$3,600",Warm Weather:Safe:English Spoken:Beach Living:Tax Friendly,/images/destinations/malta/hero.webp,A
mexico,Mexico,Americas,North America,Mixed,"$2,000","$2,500",Low Cost:Warm Weather:Safe:Large Expat Communities:Beach Living,/images/destinations/mexico/hero.webp,C
montenegro,Montenegro,Europe,Southern Europe,Mediterranean,"$1,650","$2,150",Low Cost:Safe:Warm Weather:Beach Living,/images/destinations/montenegro/hero.webp,B
morocco,Morocco,Middle East & North Africa,North Africa,Arid,"$1,400","$1,900",Low Cost:Warm Weather,/images/destinations/morocco/hero.webp,B
netherlands,Netherlands,Europe,Western Europe,Temperate,"$3,600","$4,600",Top Healthcare:Safe:English Spoken:Premium Cost,/images/destinations/netherlands/hero.webp,B
new-zealand,New Zealand,Oceania,Pacific,Temperate,"$3,300","$4,300",Top Healthcare:Safe:English Spoken:Low Crowds:Premium Cost,/images/destinations/new-zealand/hero.webp,C
norway,Norway,Europe,Northern Europe,Cold,"$4,150","$5,400",Top Healthcare:Safe:English Spoken:Premium Cost,/images/destinations/norway/hero.webp,B
oman,Oman,Middle East & North Africa,Middle East,Arid,"$2,850","$3,600",Safe:Warm Weather:English Spoken:Tax Friendly:Low Crowds,/images/destinations/oman/hero.webp,B
panama,Panama,Americas,Central America & Caribbean,Tropical,"$2,250","$3,000",Low Cost:Easy Residency:Tax Friendly:Warm Weather,/images/destinations/panama/hero.webp,B
philippines,Philippines,Asia,Southeast Asia,Tropical,"$1,750","$2,150",Low Cost:Tropical Paradise:Warm Weather:Large Expat Communities:English Spoken:Beach Living,/images/destinations/philippines/hero.webp,B
portugal,Portugal,Europe,Western Europe,Mediterranean,"$2,250","$2,750",Low Cost:Warm Weather:Safe:Large Expat Communities:Tax Friendly,/images/destinations/portugal/hero.webp,B
singapore,Singapore,Asia,Southeast Asia,Tropical,"$4,500","$5,750",Top Healthcare:Safe:Warm Weather:English Spoken:Premium Cost:Tropical Paradise,/images/destinations/singapore/hero.webp,B
slovenia,Slovenia,Europe,Southern Europe,Temperate,"$2,250","$2,850",Safe:Low Crowds,/images/destinations/slovenia/hero.webp,B
south-korea,South Korea,Asia,East Asia,Temperate,"$2,850","$3,600",Top Healthcare:Safe:Premium Cost:Limited English,/images/destinations/south-korea/hero.webp,B
spain,Spain,Europe,Western Europe,Mediterranean,"$2,500","$3,150",Warm Weather:Large Expat Communities:Beach Living,/images/destinations/spain/hero.webp,C
sri-lanka,Sri Lanka,Asia,South Asia,Tropical,"$1,400","$1,900",Low Cost:Tropical Paradise:Warm Weather:Beach Living,/images/destinations/sri-lanka/hero.webp,C
sweden,Sweden,Europe,Northern Europe,Cold,"$3,500","$4,500",Top Healthcare:Safe:English Spoken:Premium Cost,/images/destinations/sweden/hero.webp,B
switzerland,Switzerland,Europe,Western Europe,Temperate,"$5,000","$6,250",Top Healthcare:Safe:Premium Cost:Mountain Living,/images/destinations/switzerland/hero.webp,C
taiwan,Taiwan,Asia,East Asia,Subtropical,"$2,250","$2,850",Top Healthcare:Safe:Low Cost:Limited English,/images/destinations/taiwan/hero.webp,B
thailand,Thailand,Asia,Southeast Asia,Tropical,"$2,000","$2,500",Low Cost:Tropical Paradise:Warm Weather:Large Expat Communities:Beach Living,/images/destinations/thailand/hero.webp,C
tunisia,Tunisia,Middle East & North Africa,North Africa,Mediterranean,"$1,400","$1,900",Low Cost:Warm Weather:Beach Living:Low Crowds,/images/destinations/tunisia/hero.webp,C
turkey,Turkey,Europe,Southern Europe,Mixed,"$1,400","$1,900",Low Cost:Warm Weather:Beach Living,/images/destinations/turkey/hero.webp,C
united-arab-emirates,United Arab Emirates,Middle East & North Africa,Middle East,Arid,"$4,000","$5,250",Safe:Warm Weather:English Spoken:Tax Friendly:Premium Cost,/images/destinations/united-arab-emirates/hero.webp,B
united-kingdom,United Kingdom,Europe,Western Europe,Temperate,"$3,500","$4,500",Top Healthcare:Safe:English Spoken:Premium Cost,/images/destinations/united-kingdom/hero.webp,C
united-states,United States,Americas,North America,Mixed,"$4,000","$5,250",Top Healthcare:English Spoken:Premium Cost,/images/destinations/united-states/hero.webp,C
uruguay,Uruguay,Americas,South America,Temperate,"$2,500","$3,150",Low Cost:Warm Weather:Safe:Large Expat Communities:Beach Living,/images/destinations/uruguay/hero.webp,B
vietnam,Vietnam,Asia,Southeast Asia,Tropical,"$1,650","$2,150",Low Cost:Tropical Paradise:Warm Weather:Easy Residency:Beach Living,/images/destinations/vietnam/hero.webp,C
